11,Διαβούλευση για το σχέδιο νόμου υπό τον τίτλο: «Ενιαίο ρυθμιστικό πλαίσιο για την οργάνωση και λειτουργία του Ελληνικού Γεωργικού Οργανισμού-ΔΗΜΗΤΡΑ»,http://www.opengov.gr/ypaat/?p=2903,895,"Ενιαίο ρυθμιστικό πλαίσιο για την οργάνωση και λειτουργία του Ελληνικού Γεωργικού Οργανισμού - ΔΗΜΗΤΡΑ, σύσταση και λειτουργία φορέα διαχείρισης Παραδοσιακού Ελαιώνα Άμφισσας και άλλες διατάξεις για την ενίσχυση της αγροτικής ανάπτυξης",76 Α΄/28.03.2023 ,https://www.hellenicparliament.gr/Nomothetiko-Ergo/Anazitisi-Nomothetikou-Ergou?law_id=5f8d6be2-62e5-47fc-b44f-afc50006bcb4
12,Δημόσια διαβούλευση για το σχέδιο νόμου του Υπουργείου Παιδείας και Θρησκευμάτων με τίτλο « «Ζούμε Αρμονικά Μαζί – Σπάμε τη Σιωπή»: Ρυθμίσεις για την πρόληψη και αντιμετώπιση της βίας και του εκφοβισμού στα σχολεία και άλλες διατάξεις»,http://www.opengov.gr/ypepth/?p=6049,896,«Ζούμε Αρμονικά Μαζί - Σπάμε τη Σιωπή»: Ρυθμίσεις για την πρόληψη και αντιμετώπιση της βίας και του εκφοβισμού στα σχολεία και άλλες διατάξεις,55 Α΄/10.03.2023 ,https://www.hellenicparliament.gr/Nomothetiko-Ergo/Anazitisi-Nomothetikou-Ergou?law_id=a50c4e75-abee-43a8-ac4c-afb10181161b
13,"Δημόσια διαβούλευση για τη νομοθετική πρωτοβουλία του Υπουργείου Εσωτερικών, υπό τον τίτλο: «Σύστημα Καινοτομίας στον δημόσιο τομέα – Ρυθμίσεις Γενικής Γραμματείας Ανθρωπίνου Δυναμικού Δημοσίου Τομέα – Ρυθμίσεις για τη λειτουργία των Ο.Τ.Α. α΄ και β’ βαθμού και των αποκεντρωμένων διοικήσεων και για την ευζωία των ζώων συντροφιάς – Λοιπές επείγουσες ρυθμίσεις του Υπουργείου Εσωτερικών».",http://www.opengov.gr/ypes/?p=8661,897,Σύστημα Καινοτομίας στον δημόσιο τομέα - Ρυθμίσεις Γενικής Γραμματείας Ανθρωπίνου Δυναμικού Δημοσίου Τομέα - Ρυθμίσεις για τη λειτουργία των Ο.Τ.Α. α΄ και β’ βαθμού και των αποκεντρωμένων διοικήσεων και για την ευζωία των ζώων συντροφιάς - Λοιπές επείγουσες ρυθμίσεις του Υπουργείου Εσωτερικών και άλλες διατάξεις.,48 Α΄/02.03.2023 ,https://www.hellenicparliament.gr/Nomothetiko-Ergo/Anazitisi-Nomothetikou-Ergou?law_id=50a6ba2f-be3f-4295-a11b-afad000c8999
16,"Ολοκλήρωση της δημόσιας διαβούλευσης επί του σχεδίου νόμου του Υπουργείου Πολιτισμού και Αθλητισμού με τίτλο:«Εκσυγχρονισμός της μουσειακής πολιτικής και ζητημάτων διαχείρισης της πολιτιστικής κληρονομιάς: ίδρυση μουσείων-ν.π.δ.δ., κρατική ασφάλιση της κινητικότητας των πολιτιστικών αγαθών, δράσεις του Ο.Δ.Α.Π. και του Μουσείου Ακρόπολης, ρυθμίσεις ποινικής προστασίας της πολιτιστικής κληρονομιάς, Συμβούλια του Υπουργείου Πολιτισμού και Αθλητισμού, Μητρώο Προσωπικού Αρχαιολογικών Εργασιών και λοιπές διατάξεις σχετικά με το προσωπικό τουΥπουργείου Πολιτισμού και Αθλητισμού και την αντιμετώπιση των συνεπειών της πανδημίας στον  πολιτισμό»",http://www.opengov.gr/cultureathl/?p=8979,898,"Εκσυγχρονισμός της μουσειακής πολιτικής και ζητημάτων διαχείρισης της πολιτιστικής κληρονομιάς: ίδρυση μουσείων-ν.π.δ.δ., κρατική ασφάλιση της κινητικότητας των πολιτιστικών αγαθών, δράσεις του Ο.Δ.Α.Π. και του Μουσείου Ακρόπολης, ρυθμίσεις ποινικής προστασίας της πολιτιστικής κληρονομιάς, Συμβούλια του Υπουργείου Πολιτισμού και Αθλητισμού, Μητρώο ΠροσωπικούΑρχαιολογικών Εργασιών και λοιπές διατάξεις σχετικά με το προσωπικό του Υπουργείου Πολιτισμού και Αθλητισμού και την αντιμετώπιση των συνεπειών της πανδημίας στον πολιτισμό",31 Α/15.02.2023,https://www.hellenicparliament.gr/Nomothetiko-Ergo/Anazitisi-Nomothetikou-Ergou?law_id=eaf52e69-9ed9-4b3d-bbd6-af9c01714e52
19,"Δημόσια ηλεκτρονική διαβούλευση για το σχέδιο νόμου με τίτλο «Μέριμνα υπέρ του προσωπικού των Ενόπλων Δυνάμεων, εξορθολογισμός της νομοθεσίας των Ενόπλων Δυνάμεων, οργάνωση της Εθνοφυλακής και άλλες διατάξεις»",http://www.opengov.gr/mindefence/?p=6892,900,"Μέριμνα υπέρ του προσωπικού των Ενόπλων Δυνάμεων, εξορθολογισμός της νομοθεσίας των Ενόπλων Δυνάμεων, οργάνωση της Εθνοφυλακής και άλλες διατάξεις.",25 Α΄/09.02.2023,https://www.hellenicparliament.gr/Nomothetiko-Ergo/Anazitisi-Nomothetikou-Ergou?law_id=d95212c8-ccdc-4f6f-bafb-af89018b3495
20,Ολοκλήρωση δημόσιας ηλεκτρονικής διαβούλευσης για το σχέδιο νόμου «Ολοκληρωμένο Σύστημα Παροχής Ανακουφιστικής Φροντίδας – Ρυθμίσεις για την αντιμετώπιση της πανδημίας του κορωνοϊού COVID-19 και την προστασία της δημόσιας υγείας και λοιπές διατάξεις»,http://www.opengov.gr/yyka/?p=3835,901,Ολοκληρωμένο Σύστημα Παροχής Ανακουφιστικής Φροντίδας - Ρυθμίσεις για την αντιμετώπιση της πανδημίας του κορωνοϊού COVID-19 και την προστασία της δημόσιας υγείας και άλλες επείγουσες ρυθμίσεις,241 Α΄/23.12.2022,https://www.hellenicparliament.gr/Nomothetiko-Ergo/Anazitisi-Nomothetikou-Ergou?law_id=60d57e5e-cf04-4427-af0c-af6b016015f5
23,Δημόσια ηλεκτρονική διαβούλευση επί του σχεδίου νόμου: «Πολυεπίπεδη διακυβέρνηση και διαχείριση κινδύνων στον δημόσιο τομέα»,http://www.opengov.gr/ypes/?p=8552,902,Πολυεπίπεδη διακυβέρνηση και διαχείριση κινδύνων στον δημόσιο τομέα,12 Α/19.1.2023,https://www.hellenicparliament.gr/Nomothetiko-Ergo/Anazitisi-Nomothetikou-Ergou?law_id=b29f8db5-bd70-493d-9805-af81013207f9
24,"Δημόσια ηλεκτρονική διαβούλευση επί του σχεδίου νόμου του Υπουργείου Εσωτερικών υπό τον τίτλο: «Δημοτική Αστυνομία, Φορείς Λαϊκών Αγορών, Απλούστευση διαδικασιών μεταξύ Ο.Τ.Α. και Αποκεντρωμένων Διοικήσεων και λοιπές ρυθμίσεις του Υπουργείου Εσωτερικών»",http://www.opengov.gr/ypes/?p=8496,903,"Δημοτική Αστυνομία, Φορείς Λαϊκών Αγορών, απλούστευση διαδικασιών μεταξύ Ο.Τ.Α. και Αποκεντρωμένων Διοικήσεων, ρυθμίσεις εξομάλυνσης της εκλογικής διαδικασίας κατοίκων εξωτερικού και λοιπές ρυθμίσεις.",230 Α/14.12.2022,https://www.hellenicparliament.gr/Nomothetiko-Ergo/Anazitisi-Nomothetikou-Ergou?law_id=9172df16-59c2-4081-9e7f-af600026434b
25,Ολοκλήρωση της δημόσιας ηλεκτρονικής διαβούλευσης για το Εθνικό Σχέδιο Δράσης για την Προστασία των Παιδιών από τη Σεξουαλική Κακοποίηση και Εκμετάλλευση – 2022-2027,http://www.opengov.gr/ypep/?p=817,904,"Ομολογιακά δάνεια, τιτλοποίηση απαιτήσεων και απαιτήσεων από ακίνητα και άλλες διατάξεις.ΕΙΣΗΓΗΤΕΣ: Α. Μακρυπίδης, Σ. Κούβελας.",157 Α'/25.06.2003,https://www.hellenicparliament.gr/Nomothetiko-Ergo/Anazitisi-Nomothetikou-Ergou?law_id=07ad51bf-43d4-4ada-aa82-845cdeb327a0
27,"Διαβούλευση επί του σχεδίου νόμου: «Δευτεροβάθμια περίθαλψη, ιατρική εκπαίδευση και λοιπές διατάξεις αρμοδιότητας του Υπουργείου Υγείας»",http://www.opengov.gr/yyka/?p=3687,905,"Δευτεροβάθμια περίθαλψη, ιατρική εκπαίδευση, μισθολογικές ρυθμίσεις για τους ιατρούς και οδοντιάτρους του Εθνικού Συστήματος Υγείας και λοιπές διατάξεις αρμοδιότητας του Υπουργείου Υγείας.",225 Α/7.12.2022,https://www.hellenicparliament.gr/Nomothetiko-Ergo/Anazitisi-Nomothetikou-Ergou?law_id=e1102a38-9339-4e09-9796-af560166c253
